Name,District,Party,Hometown,SwearIn,Ref
Janice D. Schakowsky,Illinois (IL) - 9th,Democrat,Evanston,"Jan. 07, 2023",/members/S001145
Bryan Steil,Wisconsin (WI) - 1st,Republican,Janesville,"Jan. 07, 2023",/members/S001213
J. Luis Correa,California (CA) - 46th,Democrat,Santa Ana,"Jan. 07, 2023",/members/C001110
Dale W. Strong,Alabama (AL) - 5th,Republican,Huntsville,"Jan. 07, 2023",/members/S001220
Al Green,Texas (TX) - 9th,Democrat,Houston,"Jan. 07, 2023",/members/G000553
Harriet M. Hageman,Wyoming (WY) - At Large,Republican,Cheyenne,"Jan. 07, 2023",/members/H001096
Jamie Raskin,Maryland (MD) - 8th,Democrat,Takoma Park,"Jan. 07, 2023",/members/R000606
Maria Elvira Salazar,Florida (FL) - 27th,Republican,Miami,"Jan. 07, 2023",/members/S000168
Steny H. Hoyer,Maryland (MD) - 5th,Democrat,Mechanicsville,"Jan. 07, 2023",/members/H000874
Darren Soto,Florida (FL) - 9th,Democrat,Kissimmee,"Jan. 07, 2023",/members/S001200
Matt Gaetz,Florida (FL) - 1st,Republican,Niceville,"Jan. 07, 2023",/members/G000578
Cori Bush,Missouri (MO) - 1st,Democrat,St. Louis,"Jan. 07, 2023",/members/B001224
Josh Gottheimer,New Jersey (NJ) - 5th,Democrat,Wyckoff,"Jan. 07, 2023",/members/G000583
J. French Hill,Arkansas (AR) - 2nd,Republican,Little Rock,"Jan. 07, 2023",/members/H001072
Mark Alford,Missouri (MO) - 4th,Republican,Lake Winnebago,"Jan. 07, 2023",/members/A000379
